toy_gun,玩具枪
yuki_miku_(2014),雪初音(2014)
youko_(girls_und_panzer),阳子(少女与战车)
vs_seeker,对战搜寻器
nyatasha_nyanners,Nyatasha_Nyanners
saw_cleaver,锯肉刀
ooyun,Ooyun
robin_(female)_(seaside_tactician)_(fire_emblem),鲁弗莱(女)(海滨军师)(火焰纹章)
grandmother_and_grandson,祖孙
unicorn_girl,独角兽娘
red_(among_us),红(Among_Us)
tifa_lockhart_(cosplay),蒂法·洛克哈特(Cosplay)
bisected,两半
classic_(zildjian33),Classic
k'_(kof),K'(拳皇)
oruyanke_(shirakami_fubuki),Oruyanke
hiyama_yuu_(wee259hiyama),Hiyama_Yuu
svd_(girls'_frontline),SVD(少女前线)
kissing_object,亲吻物体
goku_black,黑悟空
cleaning_brush,清洁刷
100_percent_orange_juice,100%鲜橙汁
shin_getter_robo,真盖塔机器人
sitonai_(fate),志度内(Fate)
suzuki_kyoutarou,铃木狂太郎
hazuki_(sutasuta),Hazuki
sakura_hibiki,纱仓响
husky,哈士奇
nt-d,NT-D
spike_ball,尖刺球
gold_nails,金指甲
tang_sanzang,唐三藏
chaki_(teasets),Chaki
hololive_alternative,Hololive_Alternative
nidaime_(doronbo),二代目(小双侠)
kuroda_bb,黑田bb
anzu_ame,杏子糖
nishida_megane,西田
kanokon,我的狐仙女友
shima-shuu,Shima-shuu
amibazh,Amibazh
ame_to_kimi_to,雨和你
yin_yang_hair_ornament,阴阳发饰
hey_taisyou,Hey_Taisyou
super_sailor_chibi_moon,超级水手小月亮
uno_(game),UNO(游戏)
onnaski,Onnaski
frilled_coat,荷叶边外套
i-400_(kancolle),伊400(舰C)
meatball,肉丸
jessica_(reverse:1999),金蜜儿(重返未来：1999)
kimura_shiki,木村
yamauchi_(conan-comy),Yamauchi
holding_spork,拿着叉勺
a-pose,A字姿势
eckert&eich,Eckert&Eich
inu_sakuya_(nejikirio),犬咲夜
judy_hopps,朱迪·霍普斯
applying_sunscreen,涂防晒霜
yomogi_(black-elf),Yomogi
mado_(mukade_tou),Mado
photon_ray_(fate),光子射线(Fate)
psd_available,提供PSD
undone_bowtie,解开的领结
black_gold_saw,黑岩射手
suimya,Suimya
kohibari_kurumi,小云雀来海
akershus_fortress_(oshiro_project),阿克斯胡斯城堡(御城Project)
namiki_(remiter00),Namiki
aoba_kokona,青叶心奈
hanny_(uirusu_chan),Hanny
severa_(fire_emblem),瑟蕾娜(火焰纹章)
matsuda_arisa,松田亚利沙
puyo_(puyotopia),Puyo
mega_man_2,洛克人2
io_(granblue_fantasy),伊央(碧蓝幻想)
sekiguchi_miiru,关口
maho_moco,Maho_Moco
kiriya_(552260),Kiriya
olchas,Olchas
jaho,Jaho
jiino,Jiino
human_tower,叠罗汉
nksk,Nksk
kagune_(tokyo_ghoul),赫子(东京食尸鬼)
scuba,水肺
may_(gundam_build_divers_re:rise),梅(高达创形者Re:RISE)
ar_(rikuesuto),Ar
rio_rollins,Rio_Rollins
lid,盖子
akino_hamo,Akino_Hamo
outo_eguchi,Outo_Eguchi
kousetsu_samonji,江雪左文字
bluebird,蓝鸟
natsuiro_matsuri_(casual),夏色祭(常服)
meowstic,超能妙喵
mazume,Mazume
fuuma_kotarou_(fate),风魔小太郎(Fate)
furuyama_itaru,古山造
mokke_(mokke99),Mokke
rossiu_adai,罗修
kurebayashi_noe,Kurebayashi_Noe
fue_(rhomphair),Fue
alipheese_fateburn_xvi,爱丽菲斯16世
firecrackers,鞭炮
thanatos_(persona),塔纳托斯(女神异闻录)
slipper_bathtub,拖鞋浴缸
hijab,希贾布
striped_camisole,条纹吊带衫
tanba_akari,丹羽灯
gold_saint,黄金圣斗士
google,谷歌
after_cunnilingus,舔阴后
towel_on_one_shoulder,单肩搭毛巾
scorpion,蝎子
spider-man_(miles_morales),蜘蛛侠(迈尔斯·莫拉莱斯)
chimecho,风铃铃
handjob_over_clothes,隔衣手淫
sukoya_kana_(1st_costume),健屋花那(第一套服装)
kaidou_(one_piece),凯多(海贼王)
enkidu_(weapon)_(fate),恩奇都(武器)(Fate)
soukou_kihei_votoms,装甲骑兵
joshi_kousei_rich_thots,Joshi_Kousei_Rich_Thots
emil_chronicle_online,埃米尔物语
tentacle_clothes,触手衣服
holding_shell,拿着贝壳
shoulder-to-shoulder,肩并肩
yuzuriha_(under_night_in-birth),柚子叶(夜下降生)
shiming_liangjing,Shiming_Liangjing
gucchiann,Gucchiann
turnip,芜菁
akahi242,Akahi242
belly_rub,揉肚子
cape_hold,抓披风
black_order_uniform,黑色教团制服
ogiue_chika,荻上千佳
meerkat_ears,猫鼬耳
anza_tomo,Anza_Tomo
uchiha_obito,宇智波带土
demi-fiend,人修罗
gzei,Gzei
dearmybrothers,Dearmybrothers
mia_fey,绫里千寻
fangdan_runiu,Fangdan_Runiu
white_devil,白色恶魔
nozomi_(princess_connect!),望(公主连结)
empoleon,帝王拿波
game_cartridge,游戏卡带
tateishi_kureha,立石红叶
potato_pot,Potato_Pot
vinhnyu,Vinhnyu
yukadon,Yukadon
tenco's_story,Tenco的故事
shinkyoku_soukai_polyphonica,神曲奏界
sinzan,Sinzan
illustration.media,Illustration.media
holding_cannon,拿着大炮
kureha_mitsushige,Kureha_Mitsushige
tonami_yuma,Tonami_Yuma
ebonyxh,Ebonyxh
shunsuke,Shunsuke
shingo_(missing_link),Shingo
panties_in_mouth,嘴咬内裤
saturated,饱和
tasmanian_devil_ears,袋獾耳
aqua_belt,水蓝腰带
ekko_(league_of_legends),艾克(英雄联盟)
sewing_machine,缝纫机
shiokko_(murasaki_shion),Shiokko
lakilolom,Lakilolom
neo-porte,Neo-Porte
diabellstar_the_black_witch,黑魔女迪亚贝尔斯塔尔
tachikawa_ayaka,立川绚香
gradient_tail,渐变尾巴
i-203_(kancolle),伊203(舰C)
qixia,Qixia
lobelia_(saclia),Lobelia
back_turned,背对
white_raincoat,白雨衣
r-king,R-king
urine_meter,尿量计
shy_(character),Shy(角色)
nishimura_eri,西村绘理
sakurai_energy,Sakurai_Energy
risumi_(taka-fallcherryblossom),Risumi
sakura_taisen_v,樱花大战5
hashira_14,Hashira_14
wiping_forehead,擦额头
beritabo,Beritabo
dokuro-kun_(houshou_marine),Dokuro-kun
fender_precision_bass,芬达贝斯
holding_bomb,拿着炸弹
diane_(nanatsu_no_taizai),黛安(七大罪)
nier_(brother),尼尔(哥哥)
on_wall,在墙上
ugume,Ugume
poipoi_purin,Poipoi_Purin
chiri_(atlanta),Chiri
ayuayu_(shouyu_no_sato),Ayuayu
seitokai_yakuindomo,妄想学生会
izmir,Izmir
ukulele,尤克里里
makaroll,Makaroll
hita_(hitapita),Hita
10eki_(tenchou),10eki
penthesilea_(fate),彭忒西勒亚(Fate)
hagino_kouta,荻野公太
okonogi_yuuko,小此木优子
7-eleven,7-11
darry_adai,达利·阿黛
studded_garter_belt,铆钉吊袜带
konoe_konoka,近卫木乃香
mizushima_saki,水岛咲
murakami_hisashi,村上久
badminton_racket,羽毛球拍
sweets_bird,甜点鸟
yua_serufu,结亚赛鲁夫
fuji_fujino,Fuji_Fujino
final_form_frieza,最终形态弗利萨
privaty_(nikke),普丽瓦蒂(妮姬)
kobinbin,Kobinbin
norimaki_arale,则卷阿拉蕾
shiota_nagisa,潮田渚
itai_no_wa_iya_nano_de_bougyoryoku_ni_kyokufuri_shitai_to_omoimasu,因为太怕痛就全点防御力了
snow_halation,Snow_Halation
green_pepper,青椒
tsukushi_akihito,土笔章人
hisuian_zoroark,洗翠索罗亚克
ushio_(swimsuit_mode)_(kancolle),潮(泳装模式)(舰C)
gomzi,Gomzi
minami_saki,南咲
bowalia,Bowalia
ui_frara,Ui_Frara
folding_stock,折叠枪托
toto_nemigi,Toto_Nemigi
german_suplex,德式拱桥摔
hashimoto_nyaa,Hashimoto_Nyaa
yuyaiyaui,Yuyaiyaui
thick_outlines,粗轮廓线
chaika_trabant,嘉依卡·特拉巴特
tales_of_innocence,圣洁传说
lady_avalon_(second_ascension)_(fate),阿瓦隆女士(二破)(Fate)
bodycon,紧身衣
shiodome_oji,Shiodome_Oji
mr._plantegg_(omori),Mr._Plantegg
elfen_lied,妖精的旋律
crimson_viper,C.Viper
nono_(top_wo_nerae_2!),诺诺(飞跃巅峰2)
nakano_sora,中野空
miki_sayaka_(cosplay),美树沙耶香(Cosplay)
tama_(songe),Tama
nekono_rin,Nekono_Rin
holding_folder,拿着文件夹
k2isu,K2isu
fuyou_kaede,芙蓉枫
ataru_(cha2batake),Ataru
whispering_in_ear,耳语
zonda_(solid_air),Zonda
rudoni,Rudoni
akakage_red,Akakage_Red
uzi,乌兹冲锋枪
signalviolet,Signalviolet
jack_atlas,杰克·阿特拉斯
sato_reika,佐藤丽华
ribiadan,Ribiadan
orange_collar,橙项圈
nipple_bells,乳头铃铛
kyle_broflovski,凯尔·布罗夫洛夫斯基
lee-enfield,李-恩菲尔德
sitrus_berry,文柚果
kintoki_(sakura_miko),Kintoki
banana_slice,香蕉片
checkered_bikini,格子比基尼
bad_neck,脖子不适
yuujin_(yuzinn333),Yuujin
antonio_salieri_(second_ascension)_(fate),安东尼奥·萨列里(二破)(Fate)
hama_chon,Hama_Chon
sakamata_chloe_(jirai_kei),沙花叉克罗耶(地雷系)
otonashi_haruna,音无春奈
jack-o'-lantern_print,南瓜灯印花
daitai_konna_kanji,Daitai_Konna_Kanji
riju,露珠
asura_(asurauser),Asura
glowing_clothes,发光衣服
astolfo_(saber)_(first_ascension)_(fate),阿斯托尔福(Saber)(一破)(Fate)
airani_iofifteen_(1st_costume),Airani_Iofifteen(第一套服装)
huyandere,Huyandere
booota,Booota
qkat_(arikawa-dou),Qkat
sound_wave,声波
mhk_(mechamania),Mhk
take_(shokumu-taiman),Take
chocoan,Chocoan
ruuto_(sorufu),Ruuto
mousou_(mousou_temporary),Mousou
ikeda_shouko,池田晶子
kanaria_hisagi,Kanaria_Hisagi
double_finger_gun,双手手枪手势
guts_(kill_la_kill),Guts(双斩少女)
aku_no_meshitsukai_(vocaloid),恶之召使(Vocaloid)
saunders_(emblem),桑德斯(徽章)
hataraku_saibou_black,工作细胞BLACK
setmen,Setmen
huadian,花钿
saint_seiya_omega,圣斗士星矢Ω
white_(among_us),白(Among_Us)
lipstick_mark_on_testicles,睾丸唇印
monobeno,茂伸奇谈
sora_to_umi,空与海
amami_amayu,Amami_Amayu
kamizaki_risa,上崎里沙
modao_zushi,魔道祖师
quimbaya_airplane,金巴亚飞机
horizon_(apex_legends),地平线(Apex英雄)
strelizia,鹤望兰
black_mittens,黑连指手套
hythlodaeus,希斯拉德
holding_golf_club,拿着高尔夫球杆
implied_murder,暗示谋杀
ashwatthama_(fate),阿什瓦塔曼(Fate)
fu_hua_(shadow_knight),符华(影骑士)
nakai_(waitress),Nakai
chamchami,Chamchami
spindle_(aidenr0),Spindle
wishiwashi_(solo),弱丁鱼(单独)
shipwreck,沉船
pot-de,Pot-de
shiromako,Shiromako
whale_print,鲸鱼印花
newhalf_with_male,伪娘与男性
sanada_clan_(emblem),真田家纹
hadashi_no_kenji,Hadashi_No_Kenji
weight,重量
wonderlands_x_showtime_(project_sekai),Wonderlands_x_Showtime(世界计划)
jin_(oihlf),Jin
comiket_95,C95
swim_goggles,泳镜
washing_back,洗背
pirate_ship,海盗船
matsuda_hikari,松田光
houraku,宝烙
narynn,Narynn
huan_li,Huan_Li
rum_raisin_(chihiromakita19),Rum_Raisin
keihh,Keihh
ornate,华丽
clockwork,发条
up_sleeve,袖内视角
wrinkled_fabric,褶皱布料
mapar,Mapar
orfevre_(old_design)_(umamusume),黄金巨匠(旧设)(赛马娘)
