photoshop_(medium),PS作品
translated,已翻译
striped_clothes,条纹衣服
commission,约稿
chinese_commentary,中文注释
hand_on_own_hip,单手叉腰
see-through_clothes,透视衣服
upper_teeth_only,仅露上齿
plaid_clothes,格子衣服
^_^,
black_hat,黑帽子
md5_mismatch,MD5不匹配
non-web_source,非来源于网络
korean_commentary,韩文注释
copyright_request,版权请求
partial_commentary,部分注释
white_hat,白帽子
formal_clothes,正装
?,
grabbing_another's_breast,抓别人的胸
skeb_commission,Skeb约稿
lifting_own_clothes,掀起自己的衣服
>_<,
variant_set,差分
paid_reward_available,有付费奖励
honkai:_star_rail,崩坏：星穹铁道
mahou_shoujo_madoka_magica_(anime),魔法少女小圆(动画)
character_request,角色请求
...,
bad_link,链接失效
covering_privates,遮挡私处
mixed-language_commentary,混合语言注释
second-party_source,第二方来源
:<,
vertical-striped_clothes,竖条纹衣服
!,
admiral_(kancolle),提督(舰C)
duplicate,重复
check_translation,检查翻译
swim_ring,游泳圈
spoilers,剧透
@_@,
red_hat,红帽子
unworn_headwear,未戴头饰
blue_hat,蓝帽子
hands_on_own_hips,双手叉腰
mini_person,迷你人
source_request,求来源
+_+,
resolution_mismatch,分辨率不匹配
breasts_squeezed_together,挤胸
=_=,
third-party_source,第三方来源
:t,
blue_halo,蓝光环
pink_halo,粉光环
!?,
unworn_hat,未戴帽子
hugging_object,抱着物体
holding_unworn_clothes,拿着没穿的衣服
protected_link,受保护的链接
pixiv_commission,Pixiv约稿
cum_overflow,精液溢出
zenless_zone_zero,绝区零
;),
nipple_stimulation,乳头刺激
pixel-perfect_duplicate,像素级重复
o_o,
covering_own_mouth,捂嘴
double-parted_bangs,中分刘海
reaching_towards_viewer,伸向观众
|_|,
chibi_only,仅Q版
pokemon_sv,宝可梦朱紫
bocchi_the_rock!,孤独摇滚！
project_moon,月亮计划
bang_dream!,BanG_Dream!
mecha_pilot_suit,机甲驾驶服
ship_turret,舰炮
copyright_notice,版权声明
self-upload,自传
partially_translated,部分翻译
large_variant_set,大量差分
inactive_account,停用账户
danganronpa_v3:_killing_harmony,枪弹辩驳V3
hashtag-only_commentary,仅标签注释
brown_hat,棕帽子
3d,3D
sound,有声
warrior_of_light_(ff14),光之格斗家(FF14)
ugoira,动图
highleg_one-piece_swimsuit,高叉连体泳衣
saber_(fate),Saber(Fate)
voiceroid,Voiceroid
red_halo,红光环
pulling_own_clothes,拉自己的衣服
+++,
goddess_of_victory:_nikke,胜利女神：妮姬
green_hat,绿帽子
stuffed_rabbit,兔子玩偶
tight_clothes,紧身衣
sakura_kyoko,佐仓杏子
check_commentary,检查注释
yellow_halo,黄光环
lapels,翻领
link,链接
jujutsu_kaisen,咒术回战
derivative_work,衍生作品
mystia_lorelei,米斯蒂娅·萝蕾拉
disembodied_hand,断手
anime_screenshot,动画截图
love_live!_nijigasaki_high_school_idol_club,LoveLive!虹咲学园学园偶像同好会
