kinoshita_hinata,木下日向
marvel_vs._capcom_3,漫画英雄VS卡普空3
ryoubi_(senran_kagura),两备(闪乱神乐)
shirogane_kei,白银圭
large_ribbon,大丝带
digimon_xros_wars,数码宝贝组合战争
li_sushang,李素裳
bad_end_precure,Bad_End_Precure
display,展示
suzuran_(yukibare)_(arknights),铃兰(雪晴)(明日方舟)
iroha_(iroha_matsurika),Iroha
scone,司康饼
itachou,Itachou
steve_(minecraft),史蒂夫(我的世界)
blood_drop,血滴
sarasadou_dan,Sarasadou_Dan
orange_peel,橘皮
lois_lane,露易丝·莱恩
minato_aqua_(hololive_summer_2019),凑阿库娅(Hololive夏日2019)
gainoob,Gainoob
dragon_quest_i,勇者斗恶龙1
stepladder,梯子
colis,Colis
fur-trimmed_robe,毛边长袍
dragon's_dogma,龙之信条
sengoku_otome,战国乙女
kazawa_(tonzura-d),Kazawa
taisho_(gumiyuki),Taisho
kochiya_sanae_(cosplay),东风谷早苗(Cosplay)
caress,爱抚
cool_&_sexy_(idolmaster),酷与性感(偶像大师)
ump45_(mod3)_(girls'_frontline),UMP45(心智升级)(少女前线)
kyo-hei_(kyouhei),Kyo-hei
amemiya_nazuna,雨宫奈茨娜
papika_(flip_flappers),帕皮卡(Flip_Flappers)
exaxuxer,Exaxuxer
covering_head,抱头
satin_bra,缎面胸罩
chocojax,Chocojax
horsea,墨海马
the_saga_of_darren_shan,向达伦大冒险
new_york_city,纽约市
yuunamida_uyu,Yuunamida_Uyu
puririn,Puririn
sbel02,Sbel02
kiryuu_moeka,桐生萌郁
aka_ringo,Aka_Ringo
exposed_bone,露骨
tomotsuka_haruomi,Tomotsuka_Haruomi
ai-generated_art_(topic),AI生成艺术(话题)
band-width,Band-width
shio_(futatsumami),Shio
akiyoshi_(tama-pete),Akiyoshi
invincible_(series),无敌少侠(系列)
nen_(hunter_x_hunter),念能力(全职猎人)
h&k_g36,H&K_G36
french_cruller,法式麻花圈
uboa,Uboa
cross_calibur_(fate),Cross_Calibur(Fate)
morisawa_chiaki,守泽千秋
android_17,人造人17号
gold_thighlet,金腿饰
wartortle,卡咪龟
sphinx,斯芬克斯
x-ray_glasses,透视眼镜
tom_clancy's_the_division,全境封锁
canada_(hetalia),加拿大(黑塔利亚)
hata4564,Hata4564
splat_charger_(splatoon),斯普拉射击枪(喷射战士)
pink_armband,粉臂章
2011_tohoku_earthquake_and_tsunami,311大地震
holding_candy_cane,拿着糖果手杖
broken_plate,碎盘子
lace-up_top,系带上衣
finger_to_tongue,手指触舌
anne_boonchuy,Anne_Boonchuy
gundam_f91,高达F91
double_bass,低音提琴
himiko_(first_ascension)_(fate),卑弥呼(一破)(Fate)
inuyama_mana,犬山玛娜
velvet_scarlatina,Velvet_Scarlatina
comiket_97,C97
ikari_(aor3507),Ikari
himeno_kanon,姬野花音
lulu_(ff10),露露(最终幻想10)
ouroboros_(girls'_frontline),衔尾蛇(少女前线)
rizento,飞机头
mizunashi_kenichi,水无健一
hoso-inu,细犬
lieza_(arc_the_lad),Lieza
noba,Noba
downtown_no_gaki_no_tsukai_ya_arahende!!,绝对不准笑24小时
commander_(last_origin),指挥官(Last_Origin)
chihiro_(khorosho),Chihiro
gold_experience,黄金体验
cum_in_navel,脐内精液
mizuyan,Mizuyan
aegis_(theoryiv),Aegis
koohee,Koohee
ookami_ryouko,大神凉子
hemo_(hemoroda),Hemo
overman_king_gainer,返乡战士
grilled_eel,烤鳗鱼
orange_tabard,橙战袍
douya_(233),Douya
mukiki,Mukiki
tamamo_no_mae_(third_ascension)_(fate),玉藻前(三破)(Fate)
water_world,水世界
ishikawa_goemon_xiii,石川五右卫门
katiko,Katiko
kataokasan,Kataokasan
whisp,Whisp
railgun_(misaka_mikoto),超电磁炮(御坂美琴)
comiket_96,C96
shadow_(persona),阴影(女神异闻录)
valitran,Valitran
fu_shun_(touqi_guaitan),抚顺(淘气在怪谈)(碧蓝航线)
igarashi_rika,五十岚梨花
sword_of_st._catherine_(fate),圣卡特琳娜之剑(Fate)
luka_(alien_stage),Luka(Alien_Stage)
mocacoffee_1001,Mocacoffee_1001
toe_seam,脚趾缝
jogging,慢跑
lotad,莲叶童子
lolicom,Lolicom
bard,吟游诗人
lamborghini,兰博基尼
zani_(wuthering_waves),维里奈(鸣潮)
fujii_eishun,Fujii_Eishun
keizoku_(emblem),继续高中(徽章)
mihama_chiyo's_father,千代爸爸
min-naraken,Min-naraken
konomi_(kino_konomi),Konomi
hou_(ppo),Hou
juvia_lockser,朱毕安·罗克丝
amo_(shibu3),Amo
ttgl_eyecatch,天元突破过场
awakened_miki,觉醒美希
sasakura,Sasakura
glastonbury1966,Glastonbury1966
yotsumi_shiro,Yotsumi_Shiro
kore_ga_watashi_no_goshujin-sama,我的主人爱作怪
under_umbrella,在伞下
holding_ears,手捂耳朵
eyes_visible_through_eyewear,透过眼镜看眼睛
sirokohi,Sirokohi
tornado,龙卷风
virginia_knights,Virginia_Knights
tooth_gap,牙缝
takatsuki_akira,高槻明
lutherniel,Lutherniel
zifu,Zifu
cnm,Cnm
shefu,Shefu
otonari_no_tenshi-sama_ni_itsu_no_mani_ka_dame_ningen_ni_sarete_ita_ken,关于邻家的天使大人不知不觉把我惯成废人这档子事
shionne_(tales),希安(传说)
las91214,Las91214
tying_apron,系围裙
cure_mermaid,Cure_Mermaid
akamoku,Akamoku
douki-kun_(douki-chan),同期君(加油吧同期酱)
amakusa_juuza,天草十三
sharp_tail,尖尾巴
kounosu_satori,高之素·Satori
tonchamon_san,Tonchamon_San
kampfer,京宝梵
kurono_yuu,黑野优
kolshica,Kolshica
curse_maker,Curse_Maker
giant_hand,巨手
demon_costume,恶魔装
pesci,贝西
don_(29219),Don
kogatarou,Kogatarou
amou_kanade,天羽奏
sano_manjirou,佐野万次郎
hitsuki_rei,Hitsuki_Rei
pink_overalls,粉背带裤
rou_(rou22),Rou
rose_(pokemon),洛兹
atelier_firis,菲莉丝的炼金工房
kamen_rider_drive_(series),假面骑士Drive(系列)
burisuke_(koujiro),Burisuke
vertical-striped_coat,竖条纹外套
chainsword,链锯剑
nyahu_(nyahu_77),Nyahu
paracelsus_(guilty_gear),Paracelsus(罪恶装备)
zaft_uniform,ZAFT制服
kyogoku-uru,Kyogoku-uru
spilled_milk,洒出的牛奶
andou_tazusa,安藤多寿纱
mirai_(senran_kagura),未来(闪乱神乐)
changsheng_(genshin_impact),长生(原神)
horikoshi_kouhei,堀越耕平
quasarcake,Quasarcake
togetoge_(jakusanseimk2),Togetoge
tft_(tft7822),Tft
nirap,Nirap
cleanup_fellatio,清洁口交
shirokuma_(nankyoku),白熊(比宇宙更远的地方)
paper_doll,纸人
the_legend_of_zelda:_spirit_tracks,塞尔达传说：大地的汽笛
panty_tug,拉内裤
ekrea_jan,Ekrea_Jan
graph,图表
mofurun_(mahou_girls_precure!),Mofurun(魔法光之美少女)
kinjo_kuromomo,Kinjo_Kuromomo
gunjou_row,Gunjou_Row
blacksmith,铁匠
dross,Dross
asta_(black_clover),阿斯塔(黑色五叶草)
mephisto_(angraecum),Mephisto
morimoto_kiyona,森本清那
three_sizes,三围
sanbasou,Sanbasou
lina_kontiola,Lina_Kontiola
narumiya_(narumiya),Narumiya
mofuaki,Mofuaki
fujiko_(emnprmn),Fujiko
yuura,Yuura
wonder_festival,Wonder_Festival
kozakura_(dictionary),Kozakura
v_sisters,V_Sisters
cafin,Cafin
twumi,Twumi
fur_sleeves,毛袖子
dungeon_travelers_2,迷宫旅人2
floating_fortress_(kancolle),飞行场姬(舰C)
perepere-kun,Perepere-kun
kirai_shouen,Kirai_Shouen
bankoku_ayuya,Bankoku_Ayuya
muteppona_hito,Muteppona_Hito
zakki,Zakki
super_famicom,SFC
skull_collar,骷髅项圈
huei_nazuki,Huei_Nazuki
kawakami_masaki,Kawakami_Masaki
chikotam,Chikotam
hephaestus_(housamo),Hephaestus(Housamo)
guy_cecil,盖伊·塞西尔
hal_(goshujinomocha),Hal
houshou_marine_(cosplay),宝钟玛琳(Cosplay)
cross-laced_one-piece_swimsuit,交叉系带连体泳衣
pokemon_rgby_(prototype),宝可梦红绿蓝黄(原型)
digging,挖掘
resident_evil_2_(remake),生化危机2(重制版)
silver_bullet_(ecc12_8),Silver_Bullet
bambietta_basterbine,邦比爱塔·巴斯塔拜姻
ouri_(aya_pine),Ouri
blue_haori,蓝羽织
burp,打嗝
kaede_(shijie_heping),Kaede
miniature,微缩模型
eitopondo,Eitopondo
akigumo_kai_ni_(kancolle),秋云改二(舰C)
yamakaze_kai_ni_(kancolle),山风改二(舰C)
spoken_number,说话数字
waddle_doo,瓦多度
chiron_(fate),喀戎(Fate)
petilil,百合根娃娃
artemis_(fate),俄里翁(Fate)
kamitoge_supino,Kamitoge_Supino
akisa_yositake,Akisa_Yositake
witch_craft_works,魔女的使命
segawa_onpu,濑川音符
258n,258n
suzuki_(company),铃木(公司)
oda_nobunaga_(swimsuit_berserker)_(first_ascension)_(fate),织田信长(泳装Berserker)(一破)(Fate)
akano_murasaki,Akano_Murasaki
anakin_skywalker,阿纳金·天行者
opening,开口
rurudo_lion,Rurudo_Lion
yamcha,雅木茶
golf,高尔夫
opagi,Opagi
anthuria,安苏利亚
man_(man-room),Man
machita_chima,町田千麻
no_horns,无角
haryuu_(poetto),Haryuu
ice_climber,敲冰块
fishbowl_helmet,鱼缸头盔
tsukumogami,付丧神
tenrai,Tenrai
niijima_sae,新岛冴
mitsui_hisashi,三井寿
ichii_tooru,一井透
kanzaki_souma,神崎飒马
kieyza,Kieyza
ventus_(kingdom_hearts),文图斯(王国之心)
uchuu_patrol_luluco,宇宙巡警露露子
derauea,Derauea
yoshiki,Yoshiki
nanami_lucia,七海露西亚
dan_(orange_train),Dan
sonoda_yuu,园田优
denki_showgun,Denki_Showgun
meto31,Meto31
nui_sociere_(1st_costume),纽伊·索西埃瑞(第一套服装)
tsukimirin,Tsukimirin
mizoguchi_keiji,Mizoguchi_Keiji
skj,Skj
zeatto,Zeatto
kasuga_(kasuga39),Kasuga
souchou,Souchou
xingchen,星尘
yan-yam,Yan-yam
rhongomyniad_(fate),伦戈米尼亚德(Fate)
narusegawa_naru,成濑川奈留
rabbit_panties,兔子内裤
howa_type_89,89式突击步枪
yasashii_naizou,Yasashii_Naizou
lightning_bolt_earrings,闪电耳环
star_bracelet,星星手链
metroid_prime,银河战士Prime
samuel_oak,大木博士
chitose_sana,千岁佐奈
funada_ui,Funada_Ui
shipping_container,集装箱
panties_day,内裤日
maekawa_suu,前川素
subaru_(brand),斯巴鲁(品牌)
kamiki_mikami,Kamiki_Mikami
moon_rabbit,月兔
ryuudog,Ryuudog
kino_(kino_konomi),Kino
sunday_silence_(racehorse),周日宁静(赛马)
sin_kiske,辛·奇斯克
abua,Abua
following,关注
maerchen_(sound_horizon),Marchen
karaage_bou,炸鸡块棒
nanami_(pgr),七实(战双帕弥什)
sakura_kyoko_(cosplay),佐仓杏子(Cosplay)
len_(hand_linke),Len
aa211108,Aa211108
ham,火腿
hana_(pangya),Hana
souta_(karasu_no_ouchi),Souta
pyon-kichi,Pyon-kichi
imagawa_akira,Imagawa_Akira
steampunk_(liarsoft),蒸汽朋克系列(Liar-soft)
shirayuki_towa,白雪巴
ember_(selen_tatsuki),Ember(Selen_Tatsuki)
saemon_(tonpura),Saemon
kiraki,Kiraki
gomamiso_(gomamiso_sp),Gomamiso
kishibe,岸边
kusuriuri_(mononoke),卖药郎(怪化猫)
packge,Packge
pon_yui,Pon_Yui
lecia_(granblue_fantasy),莉夏(碧蓝幻想)
keiko_(mitakarawa),Keiko
maiqo,Maiqo
jas_(littlecrime),Jas
ishikirimaru,石切丸
gaiko_kujin,Gaiko_Kujin
choyeon,Choyeon
marco_(one_piece),马尔科(海贼王)
zippo_(3756c),Zippo
captain_yue,Captain_Yue
0725akaba,0725akaba
takatsuki_ichika,贵月一花
framed_insect,装裱昆虫
sura_(ragnarok_online),修罗(仙境传说)
bsapricot,Bsapricot
natsumi_akira,Natsumi_Akira
tiger_hood,老虎兜帽
lefthand,Lefthand
cromwellb,Cromwellb
vardan,Vardan
fruits_basket,水果篮子
pants_lift,提裤子
vestia_zeta_(1st_costume),Vestia_Zeta(第一套服装)
damage_numbers,伤害数值
broken_arm,手臂骨折
double_helix,双螺旋
farfetch'd,大葱鸭
hopeless_masquerade,东方心绮楼
ogerpon_(teal_mask),厄诡椪(碧草面具)
holding_flamethrower,拿着火焰喷射器
stuffed_tiger,老虎玩偶
grey_mask,灰面具
ginko_(mushishi),银古(虫师)
martial_artist_(dq3),武斗家(DQ3)
too_many_birds,太多鸟
athenawyrm,Athenawyrm
paldean_wooper,帕底亚乌波
dim_lighting,灯光昏暗
caspar_von_bergliez,卡斯帕尔·冯·贝尔格里斯
pink_brooch,粉胸针
hades_2,哈迪斯2
trigger_(company),扳机社
in_trash_can,在垃圾桶里
thigh_sheath,大腿刀鞘
pisuke,Pisuke
energy_drain,能量吸取
attack_helicopter,武装直升机
shisui_kiki,Shisui_Kiki
receding_hairline,发际线后移
tsuezu,Tsuezu
satou_aji,Satou_Aji
kouhai-chan_(douki-chan),后辈酱(加油吧同期酱)
mirai_(kemono_friends),未来(兽娘动物园)
bear_hat,熊帽
totenkopf,骷髅头
calla_lily,马蹄莲
wadanohara,大海原
devilukez,Devilukez
rinyamame,Rinyamame
kkix25,Kkix25
fukiyose_seiri,吹寄制理
ji_dao_ji,Ji_Dao_Ji
phoebe_(pokemon),芙蓉
m.o.m.o.,M.O.M.O.
poch4n,Poch4n
chixiao,赤霄
beelzebub_(umineko),别西卜(海猫)
lufi_ays,Lufi_Ays
shiina_kuro,Shiina_Kuro
shishiou_(touken_ranbu),狮子王(刀剑乱舞)
mata_hari_(fate),玛塔·哈丽(Fate)
kidmo,Kidmo
the_evil_within,恶灵附身
okada_akane,冈田茜
iwado_anna,岩户安娜
c.c._lemon_(character),C.C.柠檬(角色)
saegusa_ibara,七种茨
tenkuu_no_crystalia,天空的克里斯塔利亚
shiina_(angel_beats!),椎名(Angel_Beats!)
busou_renkin,武装炼金
lr_hijikata,Lr_Hijikata
kuroda_kazuya,Kuroda_Kazuya
futaba_miwa,双叶美和
yusa_emi,游佐惠美
tatsumi_koutarou,巽幸太郎
3_(sanyako1),3
ak-74,AK-74
battle_standard,战旗
koizumi_arata,小泉新
sasha_waybright,Sasha_Waybright
ppsh-41,PPSh-41
battle_angel_alita,战斗天使阿丽塔
kurosususu,Kurosususu
washio_sumi_wa_yuusha_de_aru,鹫尾须美是勇者
t@ke-g,T@ke-g
hibiki_wataru,日日树涉
erika_(blue_archive),咏爱(蔚蓝档案)
unbuttoning,解扣子
sentient_stuffed_toy,有意识的玩偶
spiked_thighlet,尖刺腿饰
takamine_noa,高峰诺亚
dismassd,Dismassd
watercolor_background,水彩背景
dori_(genshin_impact),多莉(原神)
wailord,吼鲸王
polilla,Polilla
monolith_(suibou_souko),Monolith
judau_ashta,捷多·亚西塔
yamato_aki,大和亚季
german_commentary,德语注释
hikari_(arcaea),光(Arcaea)
blizzard,暴风雪
sezok,Sezok
solokitsune,Solokitsune
nakata_sae,中多纱江
gray_fullbuster,格雷·佛尔帕斯塔
candle_wax,蜡烛油
zhuge_kongming_(honkai_impact),诸葛孔明(崩坏学园)
electro_emilia,电子爱蜜莉雅
emon-yu,Emon-yu
raichiyo33,Raichiyo33
genetic_(ragnarok_online),基因学者(仙境传说)
kokkoro_(summer)_(princess_connect!),可可萝(泳装)(公主连结)
heirou,Heirou
pussy_jewelry,阴部首饰
kereno,Kereno
add_(elsword),Add(艾尔之光)
lemontea,Lemontea
ki_(kk-sk-ray),Ki
bailingxiao_jiu,Bailingxiao_Jiu
shigunyan,Shigunyan
beleven,Beleven
monaka_curl,Monaka_Curl
bwell,Bwell
tatakau_ataisuru,Tatakau_Ataisuru
kyoeiki,Kyoeiki
sara_(granblue_fantasy),莎拉(碧蓝幻想)
aochoku,Aochoku
xretakex,Xretakex
smelly_armpits,腋臭
origami_cyclone,折纸探长
azuki_azusa,小豆梓
vice_(kuronekohadokoheiku),Vice
pp_tenshi_t-shirt,PP天使T恤
arash_(fate),阿拉什(Fate)
yuno_(suke_yuno),Yuno
velvet_(odin_sphere),薇尔维特(奥丁领域)
barbie_mugshot_(meme),芭比入狱照(梗)
trick-or-treating,不给糖就捣蛋
impostor_(among_us),内鬼(Among_Us)
waligner,Waligner
l85,L85
laguz_(fire_emblem),拉古兹(火焰纹章)
leaf_earrings,树叶耳环
digivice,神圣计划
rla13753,Rla13753
date_pun,日期谐音梗
elhaym_van_houten,艾莉
mayl_sakurai_(mega_man),樱井美露(洛克人)
people's_liberation_army,中国人民解放军
striped_footwear,条纹鞋
snowflake_ornament,雪花装饰
donald_duck,唐老鸭
ochikobore_fruit_tart,满溢的水果塔
aramaru,Aramaru
majin_buu,魔人布欧
see-through_skirt_layer,透明裙层
miyako_(rgrayt),Miyako
old_man_(guin_guin),Old_Man
gigi_andalusia,Gigi_Andalusia
sagat,沙加特
mochizuki_mochi,Mochizuki_Mochi
kuro_mushi,Kuro_Mushi
swanna,舞天鹅
zeco,Zeco
xenomorph,异形
bio_lab,生物实验室
nin_(nin_0088),Nin
hat_under_hood,帽兜下戴帽
sunflower_seed,葵花籽
mutou_mato,Mutou_Mato
qi7pi,Qi7pi
sofy,Sofy
starpiece_memories_(idolmaster),Starpiece_Memories(偶像大师)
owasaki,Owasaki
hormone_koijirou,Hormone_Koijirou
chiba_mamoru,地场卫
tsurumaru_tsuyoshi_(umamusume),鹤丸刚志(赛马娘)
here's_johnny!_(meme),Here's_Johnny!(梗)
pec_pov_(meme),胸肌视角(梗)
shadow_hearts,影之心
efuri_(riarea00),Efuri
bitseon,Bitseon
boar_mask,野猪面具
fruit_background,水果背景
mirror_image,镜像
poppi_qtpi_(xenoblade),花JD(异度神剑)
hanamura_teruteru,花村辉辉
hidebou,Hidebou
shoumaru_(gadget_box),Shoumaru
uo_denim,Uo_Denim
akira_ferrari,Akira_Ferrari
77gl,77gl
adiane,阿蒂安
purple_slingshot_swimsuit,紫弹弓泳衣
negi_springfield,涅吉·史普林菲尔德
phantasy_star_portable_2,梦幻之星携带版2
horibe_hiderou,Horibe_Hiderou
tama_(tama-s),Tama
re_mii,Re_Mii
cure_star,Cure_Star
fei_rune,Fei_Rune
eunos,Eunos
yuuki_akira,Yuuki_Akira
mogiki_hayami,Mogiki_Hayami
noa_(nagareboshi),Noa
pepperoni,佩帕罗妮
zeraora,捷拉奥拉
3four,3four
megateru,Megateru
sam_yang,Sam_Yang
stun_gun,电击枪
chiroru_(cheese-roll),Chiroru
jeze,Jeze
mantis_girl,螳螂娘
ramona_flowers,拉莫娜·弗劳尔斯
swirlix,绵绵泡芙
prat_rat,Prat_Rat
knee_strap,膝盖带
resort_boin,Resort_Boin
eremes_guile,Eremes_Guile
bra_(dragon_ball),布拉(龙珠)
mizusaki_tsubame,水崎燕
star_nun_(diva),Star_Nun
heart_arms_duo,心形手势组合
